id,name,genre,artists,album,duration_ms,popularity,artist_count,album_freq,duration_min,genre_popularity,explicit_encoded,main_artist_encoded
5XO5F5m9ji7Rpz6qvy57JO,hikikomori rock,j-rock,Haze,hikikomori rock,180000,31.0,-0.435947590303664,-0.42909228568317015,-0.23213159926652283,36.42,0,0.00015873015873015873
0WVANCXVNakUjvkT6a9vJZ,Hey Jude,j-rock,Rockabye Baby!,Lullaby Renditions of the Beatles,273400,37.0,-0.435947590303664,-0.42909228568317015,1.0587158007582507,36.42,0,0.0014285714285714286
2nuDirYeA0wsYcFMgC7L8E,Vandalize - Japanese Version,j-rock,ONE OK ROCK,Vandalize,194695,28.0,-0.435947590303664,0.3255926388852196,-0.02903735362022682,36.42,1,0.0031746031746031746
5Tq9maJ3ho8ba3v8sJ5BXl,Cobalah Kau Mengerti,j-rock,J-Rocks,Spirit,234600,48.0,-0.435947590303664,0.3255926388852196,0.5224751249449616,36.42,0,0.0009523809523809524
36rXRdVigyIu1HA4F31zgf,C.h.a.o.s.m.y.t.h.,j-rock,ONE OK ROCK,Zankyō Reference,318426,45.0,-0.435947590303664,-0.05174982339897525,1.6810037561492086,36.42,0,0.0031746031746031746
7bOnWMJYSPo7EW9805Bt6W,Party Tonight,j-rock,J-ROCK'S,Party Tonight,156089,20.0,-0.435947590303664,-0.42909228568317015,-0.5625968260544496,36.42,0,0.00015873015873015873
4PnlFpHAblOq5bnojjsyhZ,Kimishidai Ressha,j-rock,ONE OK ROCK,Zankyō Reference,254746,40.0,-0.435947590303664,-0.05174982339897525,0.8009056572886346,36.42,0,0.0031746031746031746
7nTGwRGqxOweb5GEJUUXZy,Meraih Mimpi,j-rock,J-Rocks,Road to Abbey,196253,42.0,-0.435947590303664,-0.42909228568317015,-0.007504802771847813,36.42,0,0.0009523809523809524
3rGQJ6LRfaJj5eJhjjClOl,When They Turn the Lights On,j-rock,ONE OK ROCK,Luxury Disease (Japanese Version),207395,40.0,-0.435947590303664,1.0802775634536095,0.14648472325680323,36.42,0,0.0031746031746031746
7te8KmPRNtKd1iScZEQMjR,Jumped Out the Whip (feat. A$AP Rocky),j-rock,"Gucci Mane, A$AP Rocky",Mr. Davis,216373,29.0,0.8118805873033708,-0.42909228568317015,0.27056639303648666,36.42,1,0.00031746031746031746
5tp5lixxnFoKu6WAVBri75,Jazz,jazz,Lil Double 0,Walk Down World,152958,51.0,-0.435947590303664,-0.42909228568317015,-0.605869237290826,31.5,1,0.00015873015873015873
12BaQt9aYdTlEtKreqB5V4,jazz is for ordinary people,jazz,berlioz,jazz is for ordinary people,164000,62.0,-0.435947590303664,-0.42909228568317015,-0.45326177485963176,31.5,0,0.00015873015873015873
7AgMX97ljLm9BzszyyXEYZ,Jazz (We've Got),jazz,A Tribe Called Quest,The Low End Theory,250240,56.0,-0.435947590303664,-0.42909228568317015,0.7386298715872254,31.5,1,0.00015873015873015873
2rk0lCpO1vkKAQ6BC8bjUX,Jazz,jazz,Mick Jenkins,The Water (S),260160,44.0,-0.435947590303664,-0.42909228568317015,0.8757305804549533,31.5,1,0.00031746031746031746
6w4MlvpuxtbjGdL9YeTx89,Jazzy Belle,jazz,Outkast,ATLiens,251666,50.0,-0.435947590303664,-0.42909228568317015,0.7583380984869614,31.5,1,0.00015873015873015873
2JJ9z5cHcm1fXkp8lDVaQ2,Jazz,jazz,Aylior,Jazz,111813,31.0,-0.435947590303664,0.7029351011694145,-1.1745193044644804,31.5,0,0.00015873015873015873
0pjCsB0XNSyqM9UazlTODC,Jazz Suite No. 2: VI. Waltz 2,jazz,"Dmitri Shostakovich, Russian State Symphony Orchestra, Dmitry Yablonsky",Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot,193600,57.0,2.0597087649104053,-0.42909228568317015,-0.0441709500123803,31.5,0,0.0004761904761904762
1muuU1537td0NXq2cf6BNh,Jazz,jazz,We Dream In Anime,Jazz,50408,29.0,-0.435947590303664,0.7029351011694145,-2.023175456482909,31.5,0,0.00015873015873015873
1MVBehWZKhewSmucdZ5BpZ,Jazz Hands,jazz,"XANAKIN SKYWOK, Sadfriendd",Jazz Hands,104930,47.0,0.8118805873033708,-0.42909228568317015,-1.269646741877441,31.5,1,0.00015873015873015873
7g4Cd8Cti1eHrcTyDXPfYP,JAZZ,jazz,Kyung dasom,JAZZ,96120,22.0,-0.435947590303664,-0.42909228568317015,-1.3914065448133965,31.5,0,0.00015873015873015873
1D5PMly59volxN3IJMv9bt,Jazz,jazz,The Fumes,Bloodless,262848,22.0,-0.435947590303664,-0.42909228568317015,0.9128804499545952,31.5,0,0.00015873015873015873
5uXPEPtDINXo7rSjGYFLSr,Jazz Wobbles,jazz,The Orchestrator,Jazz Wobbles,94655,41.0,-0.435947590303664,-0.42909228568317015,-1.4116537765161405,31.5,0,0.00015873015873015873
4N6SmWg9M92xRwejuVBxwQ,Jazz,jazz,iwamizu,Alone,199192,18.0,-0.435947590303664,-0.42909228568317015,0.03311404635741124,31.5,0,0.00015873015873015873
2Sid2Qb4Y67gv6b6FtXMc2,Jazz Noir,jazz,Norberg,Jazz Noir,179354,48.0,-0.435947590303664,-0.42909228568317015,-0.24105973010609455,31.5,0,0.00015873015873015873
0TrEMKiKV6JE7PyGkmm2VV,Jazz,jazz,DJ Zeeter,Maxium,223635,11.0,-0.435947590303664,-0.42909228568317015,0.37093185148380914,31.5,0,0.00015873015873015873
2k6OU00K9obF3R1eqA2mJP,Jazzy's Song,jazz,Ayra Starr,The Year I Turned 21,134072,58.0,-0.435947590303664,-0.42909228568317015,-0.8668857683065422,31.5,0,0.00031746031746031746
2zMn261sjoitKZJehIMKPD,Jazz,jazz,The Durutti Column,The Return of The Durutti Column,99733,18.0,-0.435947590303664,-0.42909228568317015,-1.3414725870372777,31.5,0,0.00015873015873015873
3n3gfS8H6kpyqF2x5vUdLT,Jazz Odyssey,jazz,Red Brick Lane,Jazz Odyssey,170784,46.0,-0.435947590303664,-0.42909228568317015,-0.3595025804081536,31.5,0,0.00015873015873015873
2auxyWNOPIPQxi4wfcASJW,Jazz,jazz,T.S.B.G.,Collection of Show Hits!,174913,14.0,-0.435947590303664,-0.42909228568317015,-0.3024371744691568,31.5,0,0.00015873015873015873
